"key";"en";"de"
"CLOSE_BROWSER";"You can close the browser window now.";"Du kannst das Browserfenster jetzt schließen."
"CONTINUE";"Continue";"Weiter"
"CONTINUE_TO_MAIN";"Continue to main test";"Weiter zum Haupttest"
"CORRECT";"Correct!";"Richtig!"
"ENTER_ID";"Please enter your particpant ID.";"Bitte gib Deine ID ein"
"INCORRECT";"Incorrect.";"Leider falsch."
"NEXT_PRACTICE_ITEM";"Next practice question";"Nächstes Übungsbeispiel."
"RESULTS_SAVED";"Your results have been saved.";"Deine Ergebnisse wurden gespeichert."
"SCORE_TEMPLATE";"Your score";"Dein Testergebnis"
"VALUE";"Score";"Werte"
