"key";"EN";"DE"
"COMPLETED";"You solved {{num_correct}} out of {{num_question}} puzzles correctly.";"Du hast {{num_correct}} von {{num_question}} Puzzles richtig gelöst."
"CONGRATULATIONS";"Congratulations! You have completed the picture puzzle test.";"Herzlichen Glückwunsch! Du hast den Bilder-Puzzle-Test abgeschlossen."
"INTRO_MAIN";"In the main test, you will only have 120 seconds to answer each question. After 120 seconds, the large image will disappear, leaving only the 8 answers to choose from. You won&#39;t get any feedback for this part of the test.";"In diesem Haupttest hast du für jede Frage nur 120 Sekunden Zeit zu antworten. Nach 120 Sekunden verschwindet das große Bild und es bleiben nur noch die 8 Teile, aus denen du auswählen musst. Du bekommst keine Rückmeldung bei diesem Teil des Tests."
"INTRO1";"In this test you will be given a number of picture puzzles to solve. First you will complete a couple of practice questions.";"In diesem Test siehst du Bilder mit Puzzles, die du lösen sollst. Zuerst kommen ein paar Beispiele zum Üben."
"INTRO2";"You will be presented with a number of picture puzzles. Each puzzle will be missing a piece. Eight potential replacement pieces are given below each picture puzzle. Only one of these pieces is the correct replacement. Your task is to click on the correct one.";"Du siehst nun eine Reihe von Puzzlebildern. In jedem Puzzle fehlt ein Puzzleteil. Du bekommst 8 mögliche Puzzleteile, die unter dem Puzzle angezeigt sind. Nur eins dieser Teile ist das richtige. Deine Aufgabe ist es, auf das richtige Teil zu klicken."
"PAGE_HEADER";"Which is the correct missing piece?";"Welches ist das fehlende Puzzleteil?"
"PRACTICE_FEEDBACK1";"Practice Question 1:";"Probefrage 1:"
"PRACTICE_FEEDBACK2";"Practice Question 2:";"Probefrage 2:"
"PRACTICE_SUBPROMPT";"Only one of these pieces is the correct replacement. Your task is to click on the correct one.";"Nur eins dieser Teile ist das richtige Puzzleteil. Deine Aufgabe ist es, auf das richtige Teil zu klicken."
"PRACTICE1";"Practice Question 1: Which is the correct missing piece?";"Probefrage 1: Welches ist das richtige fehlende Puzzleteil?"
"PRACTICE2";"Practice Question 2: Which is the correct missing piece?";"Probefrage 2: Welches ist das richtige fehlende Puzzleteil?"
"PROMPT";"You have 120 seconds to choose an answer before the question disappears!";"Du hast 120 Sekunden Zeit ein Antwort zu geben, bevor die Frage verschwindet!"
"TESTNAME";"My IQ Test";"My IQ Test"
"WELCOME";"Welcome to the Visual Puzzles Test!";"Willkommen beim visuellen Puzzletest!"
